post_id,sentiment,risk_level,extracted_location,full_location,latitude,longitude
16thenk,Positive,High-Risk,dpdr,"Masjid DPDR Kantor DPRD Barru, Jalan Bau Massepe, Barru, Sulawesi Selatan, Sulawesi, 90712, Indonesia",-4.41564885,119.61664226567646
16thenk,Positive,High-Risk,dpdr,"Masjid DPDR Kantor DPRD Barru, Jalan Bau Massepe, Barru, Sulawesi Selatan, Sulawesi, 90712, Indonesia",-4.41564885,119.61664226567646
16thenk,Positive,High-Risk,dpdr,"Masjid DPDR Kantor DPRD Barru, Jalan Bau Massepe, Barru, Sulawesi Selatan, Sulawesi, 90712, Indonesia",-4.41564885,119.61664226567646
16thenk,Positive,High-Risk,dpdr,"Masjid DPDR Kantor DPRD Barru, Jalan Bau Massepe, Barru, Sulawesi Selatan, Sulawesi, 90712, Indonesia",-4.41564885,119.61664226567646
16thenk,Positive,High-Risk,dpdr,"Masjid DPDR Kantor DPRD Barru, Jalan Bau Massepe, Barru, Sulawesi Selatan, Sulawesi, 90712, Indonesia",-4.41564885,119.61664226567646
16thenk,Positive,High-Risk,dpdr,"Masjid DPDR Kantor DPRD Barru, Jalan Bau Massepe, Barru, Sulawesi Selatan, Sulawesi, 90712, Indonesia",-4.41564885,119.61664226567646
16thenk,Positive,High-Risk,dpdr,"Masjid DPDR Kantor DPRD Barru, Jalan Bau Massepe, Barru, Sulawesi Selatan, Sulawesi, 90712, Indonesia",-4.41564885,119.61664226567646
16thenk,Positive,High-Risk,dpdr,"Masjid DPDR Kantor DPRD Barru, Jalan Bau Massepe, Barru, Sulawesi Selatan, Sulawesi, 90712, Indonesia",-4.41564885,119.61664226567646
16thenk,Positive,High-Risk,dpdr,"Masjid DPDR Kantor DPRD Barru, Jalan Bau Massepe, Barru, Sulawesi Selatan, Sulawesi, 90712, Indonesia",-4.41564885,119.61664226567646
16thenk,Positive,High-Risk,dpdr,"Masjid DPDR Kantor DPRD Barru, Jalan Bau Massepe, Barru, Sulawesi Selatan, Sulawesi, 90712, Indonesia",-4.41564885,119.61664226567646
zc2m3n,Negative,High-Risk,background,"Background Cottages, Nether Stowey, Somerset, England, United Kingdom",51.155805,-3.1563825263176577
1j0szpa,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1ja1tzy,Negative,High-Risk,canada,Canada,61.0666922,-107.991707
1ja1tzy,Negative,High-Risk,las vegas,"Las Vegas, Clark County, Nevada, United States",36.2533896,-115.2794366262601
1is4k7u,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1d5t89q,Negative,High-Risk,hanging,"Hanging, Kollerschlag, Bezirk Rohrbach, Oberösterreich, 4154, Österreich",48.6048721,13.8195814
fbq6n2,Positive,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
fbq6n2,Positive,High-Risk,youtube,"YouTube Theater, 1011, Stadium Drive, Hollywood Park, Inglewood, Los Angeles County, California, 90301, United States",33.9517558,-118.33678690719562
1jne2zs,Positive,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1jne2zs,Positive,High-Risk,truth,"Truth, 34, Fulham Palace Road, Hammersmith, London Borough of Hammersmith and Fulham, London, Greater London, England, W6 9PH, United Kingdom",51.4908534,-0.22390478617004028
1hvmvi0,Positive,High-Risk,philippines,Pilipinas,12.7503486,122.7312101
1hijjcl,Positive,High-Risk,europe,Europe,51.0,10.0
1hijjcl,Positive,High-Risk,cape town,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa",-33.9288301,18.4172197
16thenk,Positive,High-Risk,dpdr,"Masjid DPDR Kantor DPRD Barru, Jalan Bau Massepe, Barru, Sulawesi Selatan, Sulawesi, 90712, Indonesia",-4.41564885,119.61664226567646
16thenk,Positive,High-Risk,dpdr,"Masjid DPDR Kantor DPRD Barru, Jalan Bau Massepe, Barru, Sulawesi Selatan, Sulawesi, 90712, Indonesia",-4.41564885,119.61664226567646
16thenk,Positive,High-Risk,dpdr,"Masjid DPDR Kantor DPRD Barru, Jalan Bau Massepe, Barru, Sulawesi Selatan, Sulawesi, 90712, Indonesia",-4.41564885,119.61664226567646
16thenk,Positive,High-Risk,dpdr,"Masjid DPDR Kantor DPRD Barru, Jalan Bau Massepe, Barru, Sulawesi Selatan, Sulawesi, 90712, Indonesia",-4.41564885,119.61664226567646
16thenk,Positive,High-Risk,dpdr,"Masjid DPDR Kantor DPRD Barru, Jalan Bau Massepe, Barru, Sulawesi Selatan, Sulawesi, 90712, Indonesia",-4.41564885,119.61664226567646
16thenk,Positive,High-Risk,dpdr,"Masjid DPDR Kantor DPRD Barru, Jalan Bau Massepe, Barru, Sulawesi Selatan, Sulawesi, 90712, Indonesia",-4.41564885,119.61664226567646
16thenk,Positive,High-Risk,dpdr,"Masjid DPDR Kantor DPRD Barru, Jalan Bau Massepe, Barru, Sulawesi Selatan, Sulawesi, 90712, Indonesia",-4.41564885,119.61664226567646
16thenk,Positive,High-Risk,dpdr,"Masjid DPDR Kantor DPRD Barru, Jalan Bau Massepe, Barru, Sulawesi Selatan, Sulawesi, 90712, Indonesia",-4.41564885,119.61664226567646
16thenk,Positive,High-Risk,dpdr,"Masjid DPDR Kantor DPRD Barru, Jalan Bau Massepe, Barru, Sulawesi Selatan, Sulawesi, 90712, Indonesia",-4.41564885,119.61664226567646
16thenk,Positive,High-Risk,dpdr,"Masjid DPDR Kantor DPRD Barru, Jalan Bau Massepe, Barru, Sulawesi Selatan, Sulawesi, 90712, Indonesia",-4.41564885,119.61664226567646
16thenk,Positive,High-Risk,dpdr,"Masjid DPDR Kantor DPRD Barru, Jalan Bau Massepe, Barru, Sulawesi Selatan, Sulawesi, 90712, Indonesia",-4.41564885,119.61664226567646
16thenk,Positive,High-Risk,dpdr,"Masjid DPDR Kantor DPRD Barru, Jalan Bau Massepe, Barru, Sulawesi Selatan, Sulawesi, 90712, Indonesia",-4.41564885,119.61664226567646
16thenk,Positive,High-Risk,dpdr,"Masjid DPDR Kantor DPRD Barru, Jalan Bau Massepe, Barru, Sulawesi Selatan, Sulawesi, 90712, Indonesia",-4.41564885,119.61664226567646
1ffo30n,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1d5t89q,Negative,High-Risk,hanging,"Hanging, Kollerschlag, Bezirk Rohrbach, Oberösterreich, 4154, Österreich",48.6048721,13.8195814
1gupq65,Negative,High-Risk,bangkok,"กรุงเทพมหานคร, ประเทศไทย",13.7524938,100.4935089
1gupq65,Negative,High-Risk,thailand,ประเทศไทย,14.8971921,100.83273
1gupq65,Negative,High-Risk,london,"London, Greater London, England, United Kingdom",51.5074456,-0.1277653
vvmv2d,Positive,High-Risk,withdrawal,"Kirtland Air Force Base & Cibola Withdrawal Area, Albuquerque, Bernalillo County, New Mexico, 87116, United States",35.0081534,-106.46810582171446
16thenk,Positive,High-Risk,dpdr,"Masjid DPDR Kantor DPRD Barru, Jalan Bau Massepe, Barru, Sulawesi Selatan, Sulawesi, 90712, Indonesia",-4.41564885,119.61664226567646
16thenk,Positive,High-Risk,dpdr,"Masjid DPDR Kantor DPRD Barru, Jalan Bau Massepe, Barru, Sulawesi Selatan, Sulawesi, 90712, Indonesia",-4.41564885,119.61664226567646
16thenk,Positive,High-Risk,dpdr,"Masjid DPDR Kantor DPRD Barru, Jalan Bau Massepe, Barru, Sulawesi Selatan, Sulawesi, 90712, Indonesia",-4.41564885,119.61664226567646
